,date,%-close,value
4104,2005-09-30,HD-close,25.4323
4105,2005-10-31,HD-close,27.3661
4106,2005-11-30,HD-close,27.9259
4107,2005-12-30,HD-close,27.057
4108,2006-01-31,HD-close,27.1037
4109,2006-02-28,HD-close,28.1732
4110,2006-03-31,HD-close,28.376
4111,2006-04-28,HD-close,26.7861
4112,2006-05-31,HD-close,25.5719
4113,2006-06-30,HD-close,24.1061
4114,2006-07-31,HD-close,23.3786
4115,2006-08-31,HD-close,23.0957
4116,2006-09-29,HD-close,24.5347
4117,2006-10-31,HD-close,25.2518
4118,2006-11-30,HD-close,25.8406
4119,2006-12-29,HD-close,27.331
4120,2007-01-31,HD-close,27.7257
4121,2007-02-28,HD-close,26.9431
4122,2007-03-30,HD-close,25.1485
4123,2007-04-30,HD-close,25.922
4124,2007-05-31,HD-close,26.6065
4125,2007-06-29,HD-close,27.091
4126,2007-07-31,HD-close,25.5902
4127,2007-08-31,HD-close,26.5443
4128,2007-09-28,HD-close,22.4771
4129,2007-10-31,HD-close,21.8327
4130,2007-11-30,HD-close,19.9527
4131,2007-12-31,HD-close,18.8209
4132,2008-01-31,HD-close,21.4059
4133,2008-02-29,HD-close,18.5485
4134,2008-03-31,HD-close,19.7083
4135,2008-04-30,HD-close,20.2932
4136,2008-05-30,HD-close,19.2785
4137,2008-06-30,HD-close,16.6394
4138,2008-07-31,HD-close,16.9307
4139,2008-08-29,HD-close,19.2681
4140,2008-09-30,HD-close,18.5417
4141,2008-10-31,HD-close,16.8945
4142,2008-11-28,HD-close,16.5507
4143,2008-12-31,HD-close,16.656
4144,2009-01-30,HD-close,15.578
4145,2009-02-27,HD-close,15.1149
4146,2009-03-31,HD-close,17.2443
4147,2009-04-30,HD-close,19.2644
4148,2009-05-29,HD-close,16.9515
4149,2009-06-30,HD-close,17.4553
4150,2009-07-31,HD-close,19.1617
4151,2009-08-31,HD-close,20.1589
4152,2009-09-30,HD-close,19.8444
4153,2009-10-30,HD-close,18.6897
4154,2009-11-30,HD-close,20.2094
4155,2009-12-31,HD-close,21.7234
4156,2010-01-29,HD-close,21.0325
4157,2010-02-26,HD-close,23.4279
4158,2010-03-31,HD-close,24.4726
4159,2010-04-30,HD-close,26.6513
4160,2010-05-28,HD-close,25.6149
4161,2010-06-30,HD-close,21.3844
4162,2010-07-30,HD-close,21.7196
4163,2010-08-31,HD-close,21.3739
4164,2010-09-30,HD-close,24.3395
4165,2010-10-29,HD-close,23.7402
4166,2010-11-30,HD-close,23.3916
4167,2010-12-31,HD-close,27.147
4168,2011-01-31,HD-close,28.471
4169,2011-02-28,HD-close,29.013
4170,2011-03-31,HD-close,28.8892
4171,2011-04-29,HD-close,28.9594
4172,2011-05-31,HD-close,28.2812
4173,2011-06-30,HD-close,28.4376
4174,2011-07-29,HD-close,27.4247
4175,2011-08-31,HD-close,26.403
4176,2011-09-30,HD-close,25.9996
4177,2011-10-31,HD-close,28.3171
4178,2011-11-30,HD-close,31.2532
4179,2011-12-30,HD-close,33.5004
4180,2012-01-31,HD-close,35.373
4181,2012-02-29,HD-close,37.9071
4182,2012-03-30,HD-close,40.3411
4183,2012-04-30,HD-close,41.5278
4184,2012-05-31,HD-close,39.7938
4185,2012-06-29,HD-close,42.7376
4186,2012-07-31,HD-close,42.0843
